,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
34,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,0.0,3.0,Bochum,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Werder Bremen,11.0,2.0,20.4,1.0,0.0,0.0
35,2024-05-12,17,Bundesliga,Matchweek 33,Sun,Away,,1.0,1.0,Bayern Munich,0.9,0.9,51.0,50000.0,,,,Head-to-Head,,2024,Wolfsburg,14.0,5.0,15.3,1.0,0.0,0.0
36,2024-05-18,18,Bundesliga,Matchweek 34,Sat,Home,,1.0,2.0,Mainz 05,0.3,1.4,37.0,58000.0,,,,Head-to-Head,,2024,Wolfsburg,7.0,2.0,22.4,0.0,0.0,0.0
36,2024-05-11,18,Bundesliga,Matchweek 33,Sat,Home,,1.0,2.0,Eint Frankfurt,0.3,1.4,37.0,58000.0,,,,Head-to-Head,,2024,Monchengladbach,7.0,2.0,22.4,0.0,0.0,0.0
37,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Away,,3.0,1.0,Stuttgart,1.9,0.9,29.0,53429.0,,,,Head-to-Head,,2024,Monchengladbach,8.0,4.0,12.5,0.0,0.0,0.0
40,2024-05-11,19,Bundesliga,Matchweek 33,Sat,Away,,2.0,0.0,Köln,1.5,0.8,40.0,22012.0,,,,Head-to-Head,,2024,Union Berlin,11.0,6.0,13.2,0.0,0.0,0.0
41,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Home,,0.0,0.0,Freiburg,0.5,1.8,43.0,33800.0,,,,Head-to-Head,,2024,Union Berlin,9.0,4.0,18.4,0.0,0.0,0.0
33,2024-05-12,17,Bundesliga,Matchweek 33,Sun,Home,,3.0,3.0,Leverkusen,0.8,3.5,55.0,18125.0,,,,Head-to-Head,,2024,Bochum,15.0,3.0,20.2,0.0,0.0,0.0
34,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,0.0,3.0,Werder Bremen,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Bochum,11.0,2.0,20.4,1.0,0.0,0.0
34,2024-05-11,17,Bundesliga,Matchweek 33,Sat,Home,,0.0,3.0,Dortmund,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Mainz 05,11.0,2.0,20.4,1.0,0.0,0.0
35,2024-05-18,19,Bundesliga,Matchweek 34,Sat,Away,,1.0,1.0,Wolfsburg,0.9,0.9,51.0,50000.0,,,,Head-to-Head,,2024,Mainz 05,14.0,5.0,15.3,1.0,0.0,0.0
34,2024-05-11,20,Bundesliga,Matchweek 33,Sat,Home,,0.0,3.0,Union Berlin,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Koln,11.0,2.0,20.4,1.0,0.0,0.0
35,2024-05-18,17,Bundesliga,Matchweek 34,Sat,Away,,1.0,1.0,Heidenheim,0.9,0.9,51.0,50000.0,,,,Head-to-Head,,2024,Koln,14.0,5.0,15.3,1.0,0.0,0.0
33,2024-05-12,17,Bundesliga,Matchweek 33,Sun,Home,,3.0,3.0,Hoffenheim,0.8,3.5,55.0,18125.0,,,,Head-to-Head,,2024,Darmstadt 98,15.0,3.0,20.2,0.0,0.0,0.0
34,2024-05-18,20,Bundesliga,Matchweek 34,Sat,Away,,0.0,3.0,Dortmund,1.0,3.1,48.0,17810.0,,,,Head-to-Head,,2024,Darmstadt 98,11.0,2.0,20.4,1.0,0.0,0.0
