,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
40,2024-05-19,17,La Liga,Matchweek 37,Sun,Away,,3.0,4.0,Barcelona,2.1,4.6,42.0,44435.0,,,,Head-to-Head,,2024,Rayo Vallecano,12.0,4.0,21.2,0.0,0.0,1.0
41,2024-05-26,17,La Liga,Matchweek 38,Sun,Home,,1.0,0.0,Athletic Club,1.4,0.5,39.0,18027.0,,,,Head-to-Head,,2024,Rayo Vallecano,11.0,4.0,17.2,0.0,0.0,0.0
42,2024-05-11,18,La Liga,Matchweek 35,Sat,Home,,0.0,0.0,Las Palmas,0.8,0.5,47.0,43375.0,,,,Head-to-Head,,2024,Mallorca,13.0,1.0,21.9,1.0,0.0,0.0
43,2024-05-14,17,La Liga,Matchweek 36,Tue,Away,,3.0,2.0,Osasuna,1.1,1.6,42.0,14192.0,,,,Head-to-Head,,2024,Mallorca,15.0,8.0,16.4,0.0,0.0,0.0
44,2024-05-19,17,La Liga,Matchweek 37,Sun,Home,,0.0,0.0,Almería,1.9,0.3,47.0,11936.0,,,,Head-to-Head,,2024,Mallorca,20.0,2.0,15.5,0.0,0.0,0.0
45,2024-05-26,18,La Liga,Matchweek 38,Sun,Away,,0.0,0.0,Getafe,0.9,0.2,59.0,15310.0,,,,Head-to-Head,,2024,Mallorca,15.0,4.0,17.4,0.0,0.0,0.0
39,2024-05-12,19,La Liga,Matchweek 35,Sun,Away,,1.0,1.0,Atlético Madrid,0.3,1.6,48.0,18653.0,,,,Head-to-Head,,2024,Celta Vigo,5.0,2.0,17.6,1.0,0.0,0.0
40,2024-05-15,20,La Liga,Matchweek 36,Wed,Home,,3.0,4.0,Athletic Club,2.1,4.6,42.0,44435.0,,,,Head-to-Head,,2024,Celta Vigo,12.0,4.0,21.2,0.0,0.0,1.0
41,2024-05-19,18,La Liga,Matchweek 37,Sun,Away,,1.0,0.0,Granada,1.4,0.5,39.0,18027.0,,,,Head-to-Head,,2024,Celta Vigo,11.0,4.0,17.2,0.0,0.0,0.0
42,2024-05-26,17,La Liga,Matchweek 38,Sun,Home,,0.0,0.0,Valencia,0.8,0.5,47.0,43375.0,,,,Head-to-Head,,2024,Celta Vigo,13.0,1.0,21.9,1.0,0.0,0.0
36,2024-05-12,19,La Liga,Matchweek 35,Sun,Home,,0.0,0.0,Getafe,2.4,0.5,62.0,14253.0,,,,Head-to-Head,,2024,Cadiz,20.0,8.0,18.7,0.0,0.0,0.0
37,2024-05-15,18,La Liga,Matchweek 36,Wed,Away,,2.0,3.0,Sevilla,1.6,3.4,35.0,34471.0,,,,Head-to-Head,,2024,Cadiz,10.0,5.0,13.7,0.0,0.0,0.0
38,2024-05-19,19,La Liga,Matchweek 37,Sun,Home,,0.0,0.0,Las Palmas,0.3,1.9,53.0,11936.0,,,,Head-to-Head,,2024,Cadiz,7.0,1.0,24.4,2.0,0.0,0.0
39,2024-05-26,19,La Liga,Matchweek 38,Sun,Away,,1.0,1.0,Almería,0.3,1.6,48.0,18653.0,,,,Head-to-Head,,2024,Cadiz,5.0,2.0,17.6,1.0,0.0,0.0
35,2024-05-11,18,La Liga,Matchweek 35,Sat,Home,,0.0,2.0,Real Madrid,0.1,1.8,29.0,70685.0,,,,Head-to-Head,,2024,Granada,2.0,0.0,40.5,0.0,0.0,0.0
36,2024-05-15,20,La Liga,Matchweek 36,Wed,Away,,0.0,0.0,Rayo Vallecano,2.4,0.5,62.0,14253.0,,,,Head-to-Head,,2024,Granada,20.0,8.0,18.7,0.0,0.0,0.0
37,2024-05-19,19,La Liga,Matchweek 37,Sun,Home,,2.0,3.0,Celta Vigo,1.6,3.4,35.0,34471.0,,,,Head-to-Head,,2024,Granada,10.0,5.0,13.7,0.0,0.0,0.0
38,2024-05-26,18,La Liga,Matchweek 38,Sun,Away,,0.0,0.0,Girona,0.3,1.9,53.0,11936.0,,,,Head-to-Head,,2024,Granada,7.0,1.0,24.4,2.0,0.0,0.0
36,2024-05-12,19,La Liga,Matchweek 35,Sun,Away,,0.0,0.0,Betis,2.4,0.5,62.0,14253.0,,,,Head-to-Head,,2024,Almeria,20.0,8.0,18.7,0.0,0.0,0.0
37,2024-05-16,19,La Liga,Matchweek 36,Thu,Home,,2.0,3.0,Barcelona,1.6,3.4,35.0,34471.0,,,,Head-to-Head,,2024,Almeria,10.0,5.0,13.7,0.0,0.0,0.0
38,2024-05-19,18,La Liga,Matchweek 37,Sun,Away,,0.0,0.0,Mallorca,0.3,1.9,53.0,11936.0,,,,Head-to-Head,,2024,Almeria,7.0,1.0,24.4,2.0,0.0,0.0
39,2024-05-26,20,La Liga,Matchweek 38,Sun,Home,,1.0,1.0,Cádiz,0.3,1.6,48.0,18653.0,,,,Head-to-Head,,2024,Almeria,5.0,2.0,17.6,1.0,0.0,0.0
