,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,season,team,sh,sot,dist,fk,pk,pkatt
53,2024-05-19,20,Serie A,Matchweek 37,Sun,Away,,1.0,0.0,Lecce,1.1,1.2,62.0,14864.0,,,,Head-to-Head,,2024,Atalanta,17.0,3.0,14.5,0.0,0.0,0.0
54,2024-05-26,17,Serie A,Matchweek 38,Sun,Home,,1.0,0.0,Torino,2.0,0.7,48.0,10120.0,,,,Head-to-Head,,2024,Atalanta,14.0,4.0,18.5,1.0,0.0,0.0
48,2024-05-12,17,Serie A,Matchweek 36,Sun,Home,,4.0,0.0,Empoli,2.5,0.5,56.0,27588.0,,,,Head-to-Head,,2024,Lazio,14.0,5.0,19.0,1.0,1.0,1.0
49,2024-05-19,19,Serie A,Matchweek 37,Sun,Away,,0.0,2.0,Inter,1.5,1.6,48.0,59000.0,,,,Head-to-Head,,2024,Lazio,13.0,4.0,14.8,0.0,0.0,0.0
50,2024-05-26,17,Serie A,Matchweek 38,Sun,Home,,2.0,0.0,Sassuolo,2.3,0.5,49.0,15597.0,,,,Head-to-Head,,2024,Lazio,18.0,6.0,15.2,0.0,0.0,0.0
41,2024-03-17,18,Serie A,Matchweek 29,Sun,Away,,0.0,0.0,Atalanta,1.8,1.5,53.0,20116.0,,,Juan Sacchi,,Match Postponed,2024,Fiorentina,12.0,1.0,12.6,0.0,0.0,0.0
54,2024-05-13,18,Serie A,Matchweek 36,Mon,Home,,1.0,0.0,Monza,2.0,0.7,48.0,10120.0,,,,Head-to-Head,,2024,Fiorentina,14.0,4.0,18.5,1.0,0.0,0.0
55,2024-05-19,17,Serie A,Matchweek 37,Sun,Home,,3.0,1.0,Napoli,2.1,1.8,46.0,45000.0,,,,Head-to-Head,,2024,Fiorentina,12.0,3.0,14.0,0.0,0.0,0.0
56,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,3.0,0.0,Cagliari,1.2,0.8,60.0,27309.0,,,,Head-to-Head,,2024,Fiorentina,14.0,2.0,16.5,0.0,0.0,0.0
46,2024-05-11,17,Serie A,Matchweek 36,Sat,Home,,0.0,0.0,Bologna,2.1,0.2,51.0,26621.0,,,,Head-to-Head,,2024,Napoli,11.0,4.0,18.0,1.0,0.0,1.0
47,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,1.0,3.0,Fiorentina,1.8,2.1,54.0,45000.0,,,,Head-to-Head,,2024,Napoli,15.0,3.0,17.1,0.0,1.0,1.0
48,2024-05-26,17,Serie A,Matchweek 38,Sun,Home,,4.0,0.0,Lecce,2.5,0.5,56.0,27588.0,,,,Head-to-Head,,2024,Napoli,14.0,5.0,19.0,1.0,1.0,1.0
37,2024-05-12,18,Serie A,Matchweek 36,Sun,Away,,1.0,1.0,Hellas Verona,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Torino,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-19,18,Serie A,Matchweek 37,Sun,Home,,1.0,2.0,Milan,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Torino,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,1.0,0.0,Atalanta,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Torino,9.0,3.0,14.4,0.0,0.0,0.0
36,2024-05-13,20,Serie A,Matchweek 36,Mon,Away,,0.0,2.0,Fiorentina,0.8,2.3,54.0,8800.0,,,,Head-to-Head,,2024,Monza,21.0,7.0,24.3,3.0,0.0,0.0
37,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,1.0,1.0,Frosinone,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Monza,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,1.0,2.0,Juventus,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Monza,8.0,3.0,17.4,0.0,0.0,0.0
38,2024-05-12,20,Serie A,Matchweek 36,Sun,Home,,1.0,2.0,Sassuolo,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Genoa,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,1.0,0.0,Roma,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Genoa,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-26,19,Serie A,Matchweek 38,Sun,Home,,2.0,2.0,Bologna,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Genoa,19.0,7.0,17.2,0.0,0.0,0.0
37,2024-05-13,20,Serie A,Matchweek 36,Mon,Home,,1.0,1.0,Udinese,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Lecce,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-19,19,Serie A,Matchweek 37,Sun,Home,,1.0,2.0,Atalanta,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Lecce,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,1.0,0.0,Napoli,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Lecce,9.0,3.0,14.4,0.0,0.0,0.0
38,2024-05-11,19,Serie A,Matchweek 36,Sat,Away,,1.0,2.0,Milan,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Cagliari,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-19,19,Serie A,Matchweek 37,Sun,Away,,1.0,0.0,Sassuolo,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Cagliari,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,2.0,2.0,Fiorentina,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Cagliari,19.0,7.0,17.2,0.0,0.0,0.0
37,2024-05-12,18,Serie A,Matchweek 36,Sun,Home,,1.0,1.0,Torino,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Hellas Verona,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,1.0,2.0,Salernitana,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Hellas Verona,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,1.0,0.0,Inter,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Hellas Verona,9.0,3.0,14.4,0.0,0.0,0.0
39,2024-05-10,19,Serie A,Matchweek 36,Fri,Home,,1.0,0.0,Inter,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Frosinone,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-19,18,Serie A,Matchweek 37,Sun,Away,,2.0,2.0,Monza,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Frosinone,19.0,7.0,17.2,0.0,0.0,0.0
41,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,0.0,0.0,Udinese,1.8,1.5,53.0,20116.0,,,,Head-to-Head,,2024,Frosinone,12.0,1.0,12.6,0.0,0.0,0.0
36,2024-05-12,19,Serie A,Matchweek 36,Sun,Away,,0.0,2.0,Lazio,0.8,2.3,54.0,8800.0,,,,Head-to-Head,,2024,Empoli,21.0,7.0,24.3,3.0,0.0,0.0
37,2024-05-19,19,Serie A,Matchweek 37,Sun,Away,,1.0,1.0,Udinese,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Empoli,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-26,18,Serie A,Matchweek 38,Sun,Home,,1.0,2.0,Roma,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Empoli,8.0,3.0,17.4,0.0,0.0,0.0
37,2024-05-13,19,Serie A,Matchweek 36,Mon,Away,,1.0,1.0,Lecce,2.1,0.8,46.0,20113.0,,,,Head-to-Head,,2024,Udinese,11.0,4.0,18.4,1.0,1.0,1.0
38,2024-05-19,19,Serie A,Matchweek 37,Sun,Home,,1.0,2.0,Empoli,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Udinese,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-26,20,Serie A,Matchweek 38,Sun,Away,,1.0,0.0,Frosinone,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Udinese,9.0,3.0,14.4,0.0,0.0,0.0
38,2024-05-12,18,Serie A,Matchweek 36,Sun,Away,,1.0,2.0,Genoa,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Sassuolo,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-19,20,Serie A,Matchweek 37,Sun,Home,,1.0,0.0,Cagliari,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Sassuolo,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-26,19,Serie A,Matchweek 38,Sun,Away,,2.0,2.0,Lazio,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Sassuolo,19.0,7.0,17.2,0.0,0.0,0.0
38,2024-05-12,19,Serie A,Matchweek 36,Sun,Away,,1.0,2.0,Juventus,0.8,2.0,30.0,40548.0,,,,Head-to-Head,,2024,Salernitana,8.0,3.0,17.4,0.0,0.0,0.0
39,2024-05-19,17,Serie A,Matchweek 37,Sun,Home,,1.0,0.0,Hellas Verona,0.5,0.8,52.0,18181.0,,,,Head-to-Head,,2024,Salernitana,9.0,3.0,14.4,0.0,0.0,0.0
40,2024-05-26,17,Serie A,Matchweek 38,Sun,Away,,2.0,2.0,Milan,1.4,2.2,35.0,23467.0,,,,Head-to-Head,,2024,Salernitana,19.0,7.0,17.2,0.0,0.0,0.0
